sentence,len
"Presently the Rabbit came up to the door, and tried to open it; but, as the door opened inwards, and Alice's elbow was pressed hard against it, that attempt proved a failure.",174
Alice heard it say to itself 'Then I'll go round and get in at the window.',75
"'THAT you won't' thought Alice, and, after waiting till she fancied she heard the Rabbit just under the window, she suddenly spread out her hand, and made a snatch in the air.",175
"She did not get hold of anything, but she heard a little shriek and a fall, and a crash of broken glass, from which she concluded that it was just possible it had fallen into a cucumber-frame, or something of the sort.",218
Next came an angry voice--the Rabbit's--'Pat!,45
Pat!,4
Where are you?',15
"And then a voice she had never heard before, 'Sure then I'm here!",65
"Digging for apples, yer honour!'",32
"'Digging for apples, indeed!'",29
said the Rabbit angrily.,24
'Here!,6
Come and help me out of THIS!',30
(Sounds of more broken glass.),30
"'Now tell me, Pat, what's that in the window?'",46
"'Sure, it's an arm, yer honour!'",32
(He pronounced it 'arrum.'),27
"'An arm, you goose!",19
Who ever saw one that size?,27
"Why, it fills the whole window!'",32
"'Sure, it does, yer honour: but it's an arm for all that.'",58
"'Well, it's got no business there, at any rate: go and take it away!'",69
"There was a long silence after this, and Alice could only hear whispers now and then; such as, 'Sure, I don't like it, yer honour, at all, at all!'",147
"'Do as I tell you, you coward!'",31
"and at last she spread out her hand again, and made another snatch in the air.",78
"This time there were TWO little shrieks, and more sounds of broken glass.",73
'What a number of cucumber-frames there must be!',49
thought Alice.,14
'I wonder what they'll do next!,31
"As for pulling me out of the window, I only wish they COULD!",60
I'm sure I don't want to stay in here any longer!',50
"She waited for some time without hearing anything more: at last came a rumbling of little cartwheels, and the sound of a good many voices all talking together: she made out the words: 'Where's the other ladder?--Why, I hadn't to bring but one; Bill's got the other--Bill!",271
"fetch it here, lad!--Here, put 'em up at this corner--No, tie 'em together first--they don't reach half high enough yet--Oh!",124
"they'll do well enough; don't be particular--Here, Bill!",56
"catch hold of this rope--Will the roof bear?--Mind that loose slate--Oh, it's coming down!",90
Heads below!',13
"(a loud crash)--'Now, who did that?--It was Bill, I fancy--Who's to go down the chimney?--Nay, I shan't!",104
"YOU do it!--That I won't, then!--Bill's to go down--Here, Bill!",63
the master says you're to go down the chimney!',47
'Oh!,4
"So Bill's got to come down the chimney, has he?'",48
said Alice to herself.,22
"'Shy, they seem to put everything upon Bill!",44
"I wouldn't be in Bill's place for a good deal: this fireplace is narrow, to be sure; but I THINK I can kick a little!'",118
"She drew her foot as far down the chimney as she could, and waited till she heard a little animal (she couldn't guess of what sort it was) scratching and scrambling about in the chimney close above her: then, saying to herself 'This is Bill,' she gave one sharp kick, and waited to see what would happen next.",309
The first thing she heard was a general chorus of 'There goes Bill!',68
"then the Rabbit's voice along--'Catch him, you by the hedge!'",61
"then silence, and then another confusion of voices--'Hold up his head--Brandy now--Don't choke him--How was it, old fellow?",123
What happened to you?,21
Tell us all about it!',22
"Last came a little feeble, squeaking voice, ('That's Bill,' thought Alice,) 'Well, I hardly know--No more, thank ye; I'm better now--but I'm a deal too flustered to tell you--all I know is, something comes at me like a Jack-in-the-box, and up I goes like a sky-rocket!'",269
"'So you did, old fellow!'",25
said the others.,16
'We must burn the house down!',30
"said the Rabbit's voice; and Alice called out as loud as she could, 'If you do.",79
I'll set Dinah at you!',23
"There was a dead silence instantly, and Alice thought to herself, 'I wonder what they WILL do next!",99
"If they had any sense, they'd take the roof off.'",49
"After a minute or two, they began moving about again, and Alice heard the Rabbit say, 'A barrowful will do, to begin with.'",123
'A barrowful of WHAT?',22
"thought Alice; but she had not long to doubt, for the next moment a shower of little pebbles came rattling in at the window, and some of them hit her in the face.",162
"'I'll put a stop to this,' she said to herself, and shouted out, 'You'd better not do that again!'",98
which produced another dead silence.,36
"Alice noticed with some surprise that the pebbles were all turning into little cakes as they lay on the floor, and a bright idea came into her head.",148
"'If I eat one of these cakes,' she thought, 'it's sure to make SOME change in my size; and as it can't possibly make me larger, it must make me smaller, I suppose.'",164
"So she swallowed one of the cakes, and was delighted to find that she began shrinking directly.",95
"As soon as she was small enough to get through the door, she ran out of the house, and found quite a crowd of little animals and birds waiting outside.",151
"The poor little Lizard, Bill, was in the middle, being held up by two guinea-pigs, who were giving it something out of a bottle.",128
"They all made a rush at Alice the moment she appeared; but she ran off as hard as she could, and soon found herself safe in a thick wood.",137
"'The first thing I've got to do,' said Alice to herself, as she wandered about in the wood, 'is to grow to my right size again; and the second thing is to find my way into that lovely garden.",191
I think that will be the best plan.',36
"It sounded an excellent plan, no doubt, and very neatly and simply arranged; the only difficulty was, that she had not the smallest idea how to set about it; and while she was peering about anxiously among the trees, a little sharp bark just over her head made her look up in a great hurry.",290
"An enormous puppy was looking down at her with large round eyes, and feebly stretching out one paw, trying to touch her.",120
'Poor little thing!',20
"said Alice, in a coaxing tone, and she tried hard to whistle to it; but she was terribly frightened all the time at the thought that it might be hungry, in which case it would be very likely to eat her up in spite of all her coaxing.",233
"Hardly knowing what she did, she picked up a little bit of stick, and held it out to the puppy; whereupon the puppy jumped into the air off all its feet at once, with a yelp of delight, and rushed at the stick, and made believe to worry it; then Alice dodged behind a great thistle, to keep herself from being run over; and the moment she appeared on the other side, the puppy made another rush at the stick, and tumbled head over heels in its hurry to get hold of it; then Alice, thinking it was very like having a game of play with a cart-horse, and expecting every moment to be trampled under its feet, ran round the thistle again; then the puppy began a series of short charges at the stick, running a very little way forwards each time and a long way back, and barking hoarsely all the while, till at last it sat down a good way off, panting, with its tongue hanging out of its mouth, and its great eyes half shut.",919
"This seemed to Alice a good opportunity for making her escape; so she set off at once, and ran till she was quite tired and out of breath, and till the puppy's bark sounded quite faint in the distance.",201
'And yet what a dear little puppy it was!',42
"said Alice, as she leant against a buttercup to rest herself, and fanned herself with one of the leaves: 'I should have liked teaching it tricks very much, if--if I'd only been the right size to do it!",201
Oh dear!,8
I'd nearly forgotten that I've got to grow up again!,52
Let me see--how IS it to be managed?,36
"I suppose I ought to eat or drink something or other; but the great question is, what?'",87
"The great question certainly was, what?",39
"Alice looked all round her at the flowers and the blades of grass, but she did not see anything that looked like the right thing to eat or drink under the circumstances.",169
"There was a large mushroom growing near her, about the same height as herself; and when she had looked under it, and on both sides of it, and behind it, it occurred to her that she might as well look and see what was on the top of it.",234
"She stretched herself up on tiptoe, and peeped over the edge of the mushroom, and her eyes immediately met those of a large caterpillar, that was sitting on the top with its arms folded, quietly smoking a long hookah, and taking not the smallest notice of her or of anything else.",280
"CHAPTER V. Advice from a Caterpillar  The Caterpillar and Alice looked at each other for some time in silence: at last the Caterpillar took the hookah out of its mouth, and addressed her in a languid, sleepy voice.",214
'Who are YOU?',14
said the Caterpillar.,21
This was not an encouraging opening for a conversation.,55
"Alice replied, rather shyly, 'I--I hardly know, sir, just at present--at least I know who I WAS when I got up this morning, but I think I must have been changed several times since then.'",187
'What do you mean by that?',27
said the Caterpillar sternly.,29
'Explain yourself!',19
"'I can't explain MYSELF, I'm afraid, sir' said Alice, 'because I'm not myself, you see.'",88
"'I don't see,' said the Caterpillar.",36
"'I'm afraid I can't put it more clearly,' Alice replied very politely, 'for I can't understand it myself to begin with; and being so many different sizes in a day is very confusing.'",182
"'It isn't,' said the Caterpillar.",33
"'Well, perhaps you haven't found it so yet,' said Alice; 'but when you have to turn into a chrysalis--you will some day, you know--and then after that into a butterfly, I should think you'll feel it a little queer, won't you?'",226
"'Not a bit,' said the Caterpillar.",34
"'Well, perhaps your feelings may be different,' said Alice; 'all I know is, it would feel very queer to ME.'",108
'You!',6
said the Caterpillar contemptuously.,36
'Who are YOU?',14
Which brought them back again to the beginning of the conversation.,67
"Alice felt a little irritated at the Caterpillar's making such VERY short remarks, and she drew herself up and said, very gravely, 'I think, you ought to tell me who YOU are, first.'",182
'Why?',6
said the Caterpillar.,21
"Here was another puzzling question; and as Alice could not think of any good reason, and as the Caterpillar seemed to be in a VERY unpleasant state of mind, she turned away.",173
'Come back!',12
the Caterpillar called after her.,33
'I've something important to say!',34
"This sounded promising, certainly: Alice turned and came back again.",68
"'Keep your temper,' said the Caterpillar.",41
'Is that all?',14
"said Alice, swallowing down her anger as well as she could.",59
"'No,' said the Caterpillar.",27
"Alice thought she might as well wait, as she had nothing else to do, and perhaps after all it might tell her something worth hearing.",133
"For some minutes it puffed away without speaking, but at last it unfolded its arms, took the hookah out of its mouth again, and said, 'So you think you're changed, do you?'",172
"'I'm afraid I am, sir,' said Alice; 'I can't remember things as I used--and I don't keep the same size for ten minutes together!'",129
'Can't remember WHAT things?',29
said the Caterpillar.,21
"'Well, I've tried to say ""HOW DOTH THE LITTLE BUSY BEE,"" but it all came different!'",84
Alice replied in a very melancholy voice.,41
"'Repeat, ""YOU ARE OLD, FATHER WILLIAM,""' said the Caterpillar.",62
"Alice folded her hands, and began:--     'You are old, Father William,' the young man said,     'And your hair has become very white;    And yet you incessantly stand on your head--     Do you think, at your age, it is right?'",226
"'In my youth,' Father William replied to his son,     'I feared it might injure the brain;    But, now that I'm perfectly sure I have none,     Why, I do it again and again.'",174
"'You are old,' said the youth, 'as I mentioned before,     And have grown most uncommonly fat;    Yet you turned a back-somersault in at the door--     Pray, what is the reason of that?'",186
"'In my youth,' said the sage, as he shook his grey locks,     'I kept all my limbs very supple    By the use of this ointment--one shilling the box--     Allow me to sell you a couple?'",185
"'You are old,' said the youth, 'and your jaws are too weak     For anything tougher than suet;    Yet you finished the goose, with the bones and the beak--     Pray how did you manage to do it?'",194
"'In my youth,' said his father, 'I took to the law,     And argued each case with my wife;    And the muscular strength, which it gave to my jaw,     Has lasted the rest of my life.'",182
"'You are old,' said the youth, 'one would hardly suppose     That your eye was as steady as ever;    Yet you balanced an eel on the end of your nose--     What made you so awfully clever?'",188
"'I have answered three questions, and that is enough,'     Said his father; 'don't give yourself airs!",102
Do you think I can listen all day to such stuff?,48
"Be off, or I'll kick you down stairs!'",38
"'That is not said right,' said the Caterpillar.",47
"'Not QUITE right, I'm afraid,' said Alice, timidly; 'some of the words have got altered.'",89
"'It is wrong from beginning to end,' said the Caterpillar decidedly, and there was silence for some minutes.",108
The Caterpillar was the first to speak.,39
'What size do you want to be?',30
it asked.,9
"'Oh, I'm not particular as to size,' Alice hastily replied; 'only one doesn't like changing so often, you know.'",112
"'I DON'T know,' said the Caterpillar.",37
"Alice said nothing: she had never been so much contradicted in her life before, and she felt that she was losing her temper.",124
'Are you content now?',22
said the Caterpillar.,21
"'Well, I should like to be a LITTLE larger, sir, if you wouldn't mind,' said Alice: 'three inches is such a wretched height to be.'",131
'It is a very good height indeed!',34
"said the Caterpillar angrily, rearing itself upright as it spoke (it was exactly three inches high).",100
'But I'm not used to it!',25
pleaded poor Alice in a piteous tone.,37
"And she thought of herself, 'I wish the creatures wouldn't be so easily offended!'",82
"'You'll get used to it in time,' said the Caterpillar; and it put the hookah into its mouth and began smoking again.",116
This time Alice waited patiently until it chose to speak again.,63
"In a minute or two the Caterpillar took the hookah out of its mouth and yawned once or twice, and shook itself.",111
"Then it got down off the mushroom, and crawled away in the grass, merely remarking as it went, 'One side will make you grow taller, and the other side will make you grow shorter.'",179
'One side of WHAT?,18
The other side of WHAT?',24
thought Alice to herself.,25
"'Of the mushroom,' said the Caterpillar, just as if she had asked it aloud; and in another moment it was out of sight.",118
"Alice remained looking thoughtfully at the mushroom for a minute, trying to make out which were the two sides of it; and as it was perfectly round, she found this a very difficult question.",189
"However, at last she stretched her arms round it as far as they would go, and broke off a bit of the edge with each hand.",121
'And now which is which?',25
"she said to herself, and nibbled a little of the right-hand bit to try the effect: the next moment she felt a violent blow underneath her chin: it had struck her foot!",167
"She was a good deal frightened by this very sudden change, but she felt that there was no time to be lost, as she was shrinking rapidly; so she set to work at once to eat some of the other bit.",193
"Her chin was pressed so closely against her foot, that there was hardly room to open her mouth; but she did it at last, and managed to swallow a morsel of the lefthand bit.",172
"*    *    *    *    *    *    *      *    *    *    *    *    *    *    *    *    *    *    *    *  'Come, my head's free at last!'",131
"said Alice in a tone of delight, which changed into alarm in another moment, when she found that her shoulders were nowhere to be found: all she could see, when she looked down, was an immense length of neck, which seemed to rise like a stalk out of a sea of green leaves that lay far below her.",295
'What CAN all that green stuff be?',35
said Alice.,11
'And where HAVE my shoulders got to?,36
"And oh, my poor hands, how is it I can't see you?'",50
"She was moving them about as she spoke, but no result seemed to follow, except a little shaking among the distant green leaves.",127
"As there seemed to be no chance of getting her hands up to her head, she tried to get her head down to them, and was delighted to find that her neck would bend about easily in any direction, like a serpent.",206
"She had just succeeded in curving it down into a graceful zigzag, and was going to dive in among the leaves, which she found to be nothing but the tops of the trees under which she had been wandering, when a sharp hiss made her draw back in a hurry: a large pigeon had flown into her face, and was beating her violently with its wings.",335
'Serpent!',10
screamed the Pigeon.,20
'I'm NOT a serpent!',20
said Alice indignantly.,23
'Let me alone!',15
"'Serpent, I say again!'",23
"repeated the Pigeon, but in a more subdued tone, and added with a kind of sob, 'I've tried every way, and nothing seems to suit them!'",134
"'I haven't the least idea what you're talking about,' said Alice.",65
"'I've tried the roots of trees, and I've tried banks, and I've tried hedges,' the Pigeon went on, without attending to her; 'but those serpents!",144
There's no pleasing them!',26
"Alice was more and more puzzled, but she thought there was no use in saying anything more till the Pigeon had finished.",119
"'As if it wasn't trouble enough hatching the eggs,' said the Pigeon; 'but I must be on the look-out for serpents night and day!",127
"Why, I haven't had a wink of sleep these three weeks!'",54
"'I'm very sorry you've been annoyed,' said Alice, who was beginning to see its meaning.",87
"'And just as I'd taken the highest tree in the wood,' continued the Pigeon, raising its voice to a shriek, 'and just as I was thinking I should be free of them at last, they must needs come wriggling down from the sky!",218
"Ugh, Serpent!'",14
"'But I'm NOT a serpent, I tell you!'",36
said Alice.,11
'I'm a--I'm a--'  'Well!,24
WHAT are you?',14
said the Pigeon.,16
'I can see you're trying to invent something!',46
"'I--I'm a little girl,' said Alice, rather doubtfully, as she remembered the number of changes she had gone through that day.",125
'A likely story indeed!',24
said the Pigeon in a tone of the deepest contempt.,50
"'I've seen a good many little girls in my time, but never ONE with such a neck as that!",87
"No, no!",7
You're a serpent; and there's no use denying it.,48
I suppose you'll be telling me next that you never tasted an egg!',66
"'I HAVE tasted eggs, certainly,' said Alice, who was a very truthful child; 'but little girls eat eggs quite as much as serpents do, you know.'",143
"'I don't believe it,' said the Pigeon; 'but if they do, why then they're a kind of serpent, that's all I can say.'",114
"This was such a new idea to Alice, that she was quite silent for a minute or two, which gave the Pigeon the opportunity of adding, 'You're looking for eggs, I know THAT well enough; and what does it matter to me whether you're a little girl or a serpent?'",255
"'It matters a good deal to ME,' said Alice hastily; 'but I'm not looking for eggs, as it happens; and if I was, I shouldn't want YOURS: I don't like them raw.'",159
"'Well, be off, then!'",21
"said the Pigeon in a sulky tone, as it settled down again into its nest.",72
"Alice crouched down among the trees as well as she could, for her neck kept getting entangled among the branches, and every now and then she had to stop and untwist it.",168
"After a while she remembered that she still held the pieces of mushroom in her hands, and she set to work very carefully, nibbling first at one and then at the other, and growing sometimes taller and sometimes shorter, until she had succeeded in bringing herself down to her usual height.",288
"It was so long since she had been anything near the right size, that it felt quite strange at first; but she got used to it in a few minutes, and began talking to herself, as usual.",181
"'Come, there's half my plan done now!",37
How puzzling all these changes are!,35
"I'm never sure what I'm going to be, from one minute to another!",64
"However, I've got back to my right size: the next thing is, to get into that beautiful garden--how IS that to be done, I wonder?'",129
"As she said this, she came suddenly upon an open place, with a little house in it about four feet high.",103
"'Whoever lives there,' thought Alice, 'it'll never do to come upon them THIS size: why, I should frighten them out of their wits!'",130
"So she began nibbling at the righthand bit again, and did not venture to go near the house till she had brought herself down to nine inches high.",145
CHAPTER VI.,11
"Pig and Pepper  For a minute or two she stood looking at the house, and wondering what to do next, when suddenly a footman in livery came running out of the wood--(she considered him to be a footman because he was in livery: otherwise, judging by his face only, she would have called him a fish)--and rapped loudly at the door with his knuckles.",345
"It was opened by another footman in livery, with a round face, and large eyes like a frog; and both footmen, Alice noticed, had powdered hair that curled all over their heads.",175
"She felt very curious to know what it was all about, and crept a little way out of the wood to listen.",102
"The Fish-Footman began by producing from under his arm a great letter, nearly as large as himself, and this he handed over to the other, saying, in a solemn tone, 'For the Duchess.",180
An invitation from the Queen to play croquet.',46
"The Frog-Footman repeated, in the same solemn tone, only changing the order of the words a little, 'From the Queen.",115
An invitation for the Duchess to play croquet.',47
"Then they both bowed low, and their curls got entangled together.",65
"Alice laughed so much at this, that she had to run back into the wood for fear of their hearing her; and when she next peeped out the Fish-Footman was gone, and the other was sitting on the ground near the door, staring stupidly up into the sky.",245
"Alice went timidly up to the door, and knocked.",47
"'There's no sort of use in knocking,' said the Footman, 'and that for two reasons.",82
"First, because I'm on the same side of the door as you are; secondly, because they're making such a noise inside, no one could possibly hear you.'",146
"And certainly there was a most extraordinary noise going on within--a constant howling and sneezing, and every now and then a great crash, as if a dish or kettle had been broken to pieces.",188
"'Please, then,' said Alice, 'how am I to get in?'",49
"'There might be some sense in your knocking,' the Footman went on without attending to her, 'if we had the door between us.",123
"For instance, if you were INSIDE, you might knock, and I could let you out, you know.'",86
"He was looking up into the sky all the time he was speaking, and this Alice thought decidedly uncivil.",102
"'But perhaps he can't help it,' she said to herself; 'his eyes are so VERY nearly at the top of his head.",105
But at any rate he might answer questions.--How am I to get in?',64
"she repeated, aloud.",20
"'I shall sit here,' the Footman remarked, 'till tomorrow--'  At this moment the door of the house opened, and a large plate came skimming out, straight at the Footman's head: it just grazed his nose, and broke to pieces against one of the trees behind him.  '",259
"--or next day, maybe,' the Footman continued in the same tone, exactly as if nothing had happened.",98
'How am I to get in?',21
"asked Alice again, in a louder tone.",36
'ARE you to get in at all?',27
said the Footman.,17
"'That's the first question, you know.'",38
"It was, no doubt: only Alice did not like to be told so.",56
"'It's really dreadful,' she muttered to herself, 'the way all the creatures argue.",82
It's enough to drive one crazy!',32
"The Footman seemed to think this a good opportunity for repeating his remark, with variations.",94
"'I shall sit here,' he said, 'on and off, for days and days.'",61
'But what am I to do?',22
said Alice.,11
"'Anything you like,' said the Footman, and began whistling.",59
"'Oh, there's no use in talking to him,' said Alice desperately: 'he's perfectly idiotic!'",89
And she opened the door and went in.,36
"The door led right into a large kitchen, which was full of smoke from one end to the other: the Duchess was sitting on a three-legged stool in the middle, nursing a baby; the cook was leaning over the fire, stirring a large cauldron which seemed to be full of soup.",265
'There's certainly too much pepper in that soup!',49
"Alice said to herself, as well as she could for sneezing.",57
There was certainly too much of it in the air.,46
"Even the Duchess sneezed occasionally; and as for the baby, it was sneezing and howling alternately without a moment's pause.",125
"The only things in the kitchen that did not sneeze, were the cook, and a large cat which was sitting on the hearth and grinning from ear to ear.",144
"'Please would you tell me,' said Alice, a little timidly, for she was not quite sure whether it was good manners for her to speak first, 'why your cat grins like that?'",168
"'It's a Cheshire cat,' said the Duchess, 'and that's why.",57
Pig!',5
"She said the last word with such sudden violence that Alice quite jumped; but she saw in another moment that it was addressed to the baby, and not to her, so she took courage, and went on again:--  'I didn't know that Cheshire cats always grinned; in fact, I didn't know that cats COULD grin.'",293
"'They all can,' said the Duchess; 'and most of 'em do.'",55
"'I don't know of any that do,' Alice said very politely, feeling quite pleased to have got into a conversation.",111
"'You don't know much,' said the Duchess; 'and that's a fact.'",61
"Alice did not at all like the tone of this remark, and thought it would be as well to introduce some other subject of conversation.",131
"While she was trying to fix on one, the cook took the cauldron of soup off the fire, and at once set to work throwing everything within her reach at the Duchess and the baby--the fire-irons came first; then followed a shower of saucepans, plates, and dishes.",258
"The Duchess took no notice of them even when they hit her; and the baby was howling so much already, that it was quite impossible to say whether the blows hurt it or not.",170
"'Oh, PLEASE mind what you're doing!'",36
"cried Alice, jumping up and down in an agony of terror.",55
"'Oh, there goes his PRECIOUS nose'; as an unusually large saucepan flew close by it, and very nearly carried it off.",116
"'If everybody minded their own business,' the Duchess said in a hoarse growl, 'the world would go round a deal faster than it does.'",132
"'Which would NOT be an advantage,' said Alice, who felt very glad to get an opportunity of showing off a little of her knowledge.",129
'Just think of what work it would make with the day and night!,62
"You see the earth takes twenty-four hours to turn round on its axis--'  'Talking of axes,' said the Duchess, 'chop off her head!'",129
"Alice glanced rather anxiously at the cook, to see if she meant to take the hint; but the cook was busily stirring the soup, and seemed not to be listening, so she went on again: 'Twenty-four hours, I THINK; or is it twelve?",224
"I--'  'Oh, don't bother ME,' said the Duchess; 'I never could abide figures!'",77
"And with that she began nursing her child again, singing a sort of lullaby to it as she did so, and giving it a violent shake at the end of every line:     'Speak roughly to your little boy,     And beat him when he sneezes:    He only does it to annoy,     Because he knows it teases.'",286
CHORUS.,7
(In which the cook and the baby joined):--         'Wow!,56
wow!,4
wow!',5
"While the Duchess sang the second verse of the song, she kept tossing the baby violently up and down, and the poor little thing howled so, that Alice could hardly hear the words:--     'I speak severely to my boy,     I beat him when he sneezes;    For he can thoroughly enjoy     The pepper when he pleases!'",309
CHORUS.,7
'Wow!,5
wow!,4
wow!',5
'Here!,6
"you may nurse it a bit, if you like!'",37
"the Duchess said to Alice, flinging the baby at her as she spoke.",65
"'I must go and get ready to play croquet with the Queen,' and she hurried out of the room.",90
"The cook threw a frying-pan after her as she went out, but it just missed her.",78
"Alice caught the baby with some difficulty, as it was a queer-shaped little creature, and held out its arms and legs in all directions, 'just like a star-fish,' thought Alice.",175
"The poor little thing was snorting like a steam-engine when she caught it, and kept doubling itself up and straightening itself out again, so that altogether, for the first minute or two, it was as much as she could do to hold it.",230
"As soon as she had made out the proper way of nursing it, (which was to twist it up into a sort of knot, and then keep tight hold of its right ear and left foot, so as to prevent its undoing itself,) she carried it out into the open air.",237
"'IF I don't take this child away with me,' thought Alice, 'they're sure to kill it in a day or two: wouldn't it be murder to leave it behind?'",142
"She said the last words out loud, and the little thing grunted in reply (it had left off sneezing by this time).",112
"'Don't grunt,' said Alice; 'that's not at all a proper way of expressing yourself.'",83
"The baby grunted again, and Alice looked very anxiously into its face to see what was the matter with it.",105
"There could be no doubt that it had a VERY turn-up nose, much more like a snout than a real nose; also its eyes were getting extremely small for a baby: altogether Alice did not like the look of the thing at all.",212
"'But perhaps it was only sobbing,' she thought, and looked into its eyes again, to see if there were any tears.",111
"No, there were no tears.",24
"'If you're going to turn into a pig, my dear,' said Alice, seriously, 'I'll have nothing more to do with you.",109
Mind now!',10
"The poor little thing sobbed again (or grunted, it was impossible to say which), and they went on for some while in silence.",124
"Alice was just beginning to think to herself, 'Now, what am I to do with this creature when I get it home?'",107
"when it grunted again, so violently, that she looked down into its face in some alarm.",86
"This time there could be NO mistake about it: it was neither more nor less than a pig, and she felt that it would be quite absurd for her to carry it further.",158
"So she set the little creature down, and felt quite relieved to see it trot away quietly into the wood.",103
"'If it had grown up,' she said to herself, 'it would have made a dreadfully ugly child: but it makes rather a handsome pig, I think.'",133
"And she began thinking over other children she knew, who might do very well as pigs, and was just saying to herself, 'if one only knew the right way to change them--' when she was a little startled by seeing the Cheshire Cat sitting on a bough of a tree a few yards off.",270
The Cat only grinned when it saw Alice.,39
"It looked good-natured, she thought: still it had VERY long claws and a great many teeth, so she felt that it ought to be treated with respect.",143
"'Cheshire Puss,' she began, rather timidly, as she did not at all know whether it would like the name: however, it only grinned a little wider.",143
"'Come, it's pleased so far,' thought Alice, and she went on.",60
"'Would you tell me, please, which way I ought to go from here?'",63
"'That depends a good deal on where you want to get to,' said the Cat.",69
'I don't much care where--' said Alice.,39
"'Then it doesn't matter which way you go,' said the Cat.  '",59
"--so long as I get SOMEWHERE,' Alice added as an explanation.",61
"'Oh, you're sure to do that,' said the Cat, 'if you only walk long enough.'",75
"Alice felt that this could not be denied, so she tried another question.",72
'What sort of people live about here?',38
"'In THAT direction,' the Cat said, waving its right paw round, 'lives a Hatter: and in THAT direction,' waving the other paw, 'lives a March Hare.",146
Visit either you like: they're both mad.',41
"'But I don't want to go among mad people,' Alice remarked.",58
"'Oh, you can't help that,' said the Cat: 'we're all mad here.",61
I'm mad.,8
You're mad.',12
'How do you know I'm mad?',26
said Alice.,11
"'You must be,' said the Cat, 'or you wouldn't have come here.'",62
"Alice didn't think that proved it at all; however, she went on 'And how do you know that you're mad?'",101
"'To begin with,' said the Cat, 'a dog's not mad.",48
You grant that?',16
"'I suppose so,' said Alice.",27
"'Well, then,' the Cat went on, 'you see, a dog growls when it's angry, and wags its tail when it's pleased.",107
"Now I growl when I'm pleased, and wag my tail when I'm angry.",61
Therefore I'm mad.',19
"'I call it purring, not growling,' said Alice.",46
"'Call it what you like,' said the Cat.",38
'Do you play croquet with the Queen to-day?',44
"'I should like it very much,' said Alice, 'but I haven't been invited yet.'",75
"'You'll see me there,' said the Cat, and vanished.",50
"Alice was not much surprised at this, she was getting so used to queer things happening.",88
"While she was looking at the place where it had been, it suddenly appeared again.",81
"'By-the-bye, what became of the baby?'",38
said the Cat.,13
'I'd nearly forgotten to ask.',30
"'It turned into a pig,' Alice quietly said, just as if it had come back in a natural way.",89
"'I thought it would,' said the Cat, and vanished again.",55
"Alice waited a little, half expecting to see it again, but it did not appear, and after a minute or two she walked on in the direction in which the March Hare was said to live.",176
"'I've seen hatters before,' she said to herself; 'the March Hare will be much the most interesting, and perhaps as this is May it won't be raving mad--at least not so mad as it was in March.'",191
"As she said this, she looked up, and there was the Cat again, sitting on a branch of a tree.",92
"'Did you say pig, or fig?'",26
said the Cat.,13
"'I said pig,' replied Alice; 'and I wish you wouldn't keep appearing and vanishing so suddenly: you make one quite giddy.'",122
"'All right,' said the Cat; and this time it vanished quite slowly, beginning with the end of the tail, and ending with the grin, which remained some time after the rest of it had gone.",184
'Well!,6
"I've often seen a cat without a grin,' thought Alice; 'but a grin without a cat!",80
It's the most curious thing I ever saw in my life!',51
"She had not gone much farther before she came in sight of the house of the March Hare: she thought it must be the right house, because the chimneys were shaped like ears and the roof was thatched with fur.",205
"It was so large a house, that she did not like to go nearer till she had nibbled some more of the lefthand bit of mushroom, and raised herself to about two feet high: even then she walked up towards it rather timidly, saying to herself 'Suppose it should be raving mad after all!",279
I almost wish I'd gone to see the Hatter instead!',50
CHAPTER VII.,12
"A Mad Tea-Party  There was a table set out under a tree in front of the house, and the March Hare and the Hatter were having tea at it: a Dormouse was sitting between them, fast asleep, and the other two were using it as a cushion, resting their elbows on it, and talking over its head.",286
"'Very uncomfortable for the Dormouse,' thought Alice; 'only, as it's asleep, I suppose it doesn't mind.'",104
"The table was a large one, but the three were all crowded together at one corner of it: 'No room!",97
No room!',9
they cried out when they saw Alice coming.,42
'There's PLENTY of room!',25
"said Alice indignantly, and she sat down in a large arm-chair at one end of the table.",86
"'Have some wine,' the March Hare said in an encouraging tone.",61
"Alice looked all round the table, but there was nothing on it but tea.",70
"'I don't see any wine,' she remarked.",37
"'There isn't any,' said the March Hare.",39
"'Then it wasn't very civil of you to offer it,' said Alice angrily.",67
"'It wasn't very civil of you to sit down without being invited,' said the March Hare.",85
"'I didn't know it was YOUR table,' said Alice; 'it's laid for a great many more than three.'",92
"'Your hair wants cutting,' said the Hatter.",43
"He had been looking at Alice for some time with great curiosity, and this was his first speech.",95
"'You should learn not to make personal remarks,' Alice said with some severity; 'it's very rude.'",97
"The Hatter opened his eyes very wide on hearing this; but all he SAID was, 'Why is a raven like a writing-desk?'",112
"'Come, we shall have some fun now!'",35
thought Alice.,14
"'I'm glad they've begun asking riddles.--I believe I can guess that,' she added aloud.",86
'Do you mean that you think you can find out the answer to it?',63
said the March Hare.,20
"'Exactly so,' said Alice.",25
"'Then you should say what you mean,' the March Hare went on.",60
"'I do,' Alice hastily replied; 'at least--at least I mean what I say--that's the same thing, you know.'",103
'Not the same thing a bit!',27
said the Hatter.,16
"'You might just as well say that ""I see what I eat"" is the same thing as ""I eat what I see""!'",93
"'You might just as well say,' added the March Hare, 'that ""I like what I get"" is the same thing as ""I get what I like""!'",120
